ID_Member;Name;Wait_Time_Minutes;Final_Status
301;Henrique #1;65;Completed
302;Guilherme #2;22;Completed
303;Kaique #3;5;Completed
304;Breno #4;66;Completed
305;Andressa #5;29;Completed
306;Cristiano #6;20;Completed
307;Rodrigo #7;17;Completed
308;Aline #8;19;Completed
309;Gustavo #9;20;Completed
310;Eduarda #10;87;Training
311;Mateus #11;11;Completed
312;Lucas #12;26;Completed
313;Gabriel #13;5;Completed
314;Bruno #14;3;Completed
315;Rafael #15;38;Completed
316;Henrique #16;15;Completed
317;Guilherme #17;24;Completed
318;Kaique #18;13;Completed
319;Breno #19;58;Completed
320;Andressa #20;18;Completed
321;Cristiano #21;15;Completed
322;Rodrigo #22;61;Completed
323;Aline #23;78;Awaiting
324;Gustavo #24;26;Completed
325;Eduarda #25;75;Awaiting
326;Mateus #26;60;Completed
327;Lucas #27;59;Training
328;Gabriel #28;13;Completed
329;Bruno #29;33;Completed
330;Rafael #30;30;Completed
331;Henrique #31;33;Completed
332;Guilherme #32;10;Completed
333;Kaique #33;52;Completed
334;Breno #34;28;Completed
335;Andressa #35;70;Awaiting
336;Cristiano #36;61;Training
337;Rodrigo #37;24;Completed
338;Aline #38;23;Completed
339;Gustavo #39;0;Completed
340;Eduarda #40;25;Completed
341;Mateus #41;22;Completed
342;Lucas #42;39;Completed
343;Gabriel #43;17;Completed
344;Bruno #44;47;Training
345;Rafael #45;29;Completed
346;Henrique #46;29;Completed
347;Guilherme #47;20;Completed
348;Kaique #48;36;Completed
349;Breno #49;28;Completed
350;Andressa #50;11;Completed
