ID_Member;Name;Wait_Time_Minutes;Final_Status
301;Henrique #1;5;Completed
302;Guilherme #2;24;Completed
303;Kaique #3;8;Completed
304;Breno #4;22;Completed
305;Andressa #5;8;Completed
306;Cristiano #6;7;Completed
307;Rodrigo #7;7;Completed
308;Aline #8;22;Completed
309;Gustavo #9;32;Completed
310;Eduarda #10;8;Completed
311;Mateus #11;12;Completed
312;Lucas #12;11;Completed
313;Gabriel #13;15;Completed
314;Bruno #14;10;Completed
315;Rafael #15;24;Completed
316;Henrique #16;30;Completed
317;Guilherme #17;45;Completed
318;Kaique #18;10;Completed
319;Breno #19;21;Completed
320;Andressa #20;0;Completed
321;Cristiano #21;22;Completed
322;Rodrigo #22;15;Completed
323;Aline #23;0;Completed
324;Gustavo #24;9;Completed
325;Eduarda #25;24;Completed
326;Mateus #26;31;Completed
327;Lucas #27;39;Completed
328;Gabriel #28;20;Completed
329;Bruno #29;31;Completed
330;Rafael #30;7;Completed
